timestamp,gpu,util,mem_used,mem_total,power
2026-08-02T15:39:54+09:00,0, 0, 470, 49140, 30.13
2026-08-02T15:39:54+09:00,1, 0, 64, 49140, 32.17
2026-08-02T15:40:24+09:00,0, 0, 470, 49140, 29.94
2026-08-02T15:40:24+09:00,1, 0, 64, 49140, 31.85
2026-08-02T15:40:54+09:00,0, 0, 470, 49140, 30.36
2026-08-02T15:40:54+09:00,1, 0, 64, 49140, 32.07
2026-08-02T15:41:24+09:00,0, 0, 470, 49140, 30.15
2026-08-02T15:41:24+09:00,1, 0, 64, 49140, 31.81
2026-08-02T15:41:54+09:00,0, 0, 904, 49140, 30.65
2026-08-02T15:41:54+09:00,1, 0, 498, 49140, 32.30
2026-08-02T15:42:24+09:00,0, 0, 904, 49140, 30.16
2026-08-02T15:42:24+09:00,1, 0, 498, 49140, 32.09
2026-08-02T15:42:54+09:00,0, 0, 904, 49140, 29.97
2026-08-02T15:42:54+09:00,1, 0, 498, 49140, 32.23
2026-08-02T15:43:24+09:00,0, 0, 904, 49140, 43.12
2026-08-02T15:43:24+09:00,1, 0, 498, 49140, 38.64
2026-08-02T15:43:54+09:00,0, 0, 904, 49140, 30.74
2026-08-02T15:43:54+09:00,1, 0, 498, 49140, 32.49
2026-08-02T15:44:24+09:00,0, 0, 904, 49140, 30.74
2026-08-02T15:44:24+09:00,1, 0, 498, 49140, 32.43
2026-08-02T15:44:54+09:00,0, 0, 904, 49140, 30.05
2026-08-02T15:44:54+09:00,1, 0, 498, 49140, 32.41
2026-08-02T15:45:24+09:00,0, 0, 904, 49140, 30.92
2026-08-02T15:45:24+09:00,1, 0, 498, 49140, 32.48
2026-08-02T15:45:55+09:00,0, 0, 904, 49140, 30.57
2026-08-02T15:45:55+09:00,1, 0, 498, 49140, 32.21
2026-08-02T15:46:25+09:00,0, 0, 904, 49140, 30.29
2026-08-02T15:46:25+09:00,1, 0, 498, 49140, 32.23
2026-08-02T15:46:55+09:00,0, 0, 904, 49140, 30.24
2026-08-02T15:46:55+09:00,1, 0, 498, 49140, 32.24
2026-08-02T15:47:25+09:00,0, 0, 904, 49140, 30.21
2026-08-02T15:47:25+09:00,1, 0, 498, 49140, 32.27
2026-08-02T15:47:55+09:00,0, 0, 904, 49140, 30.13
2026-08-02T15:47:55+09:00,1, 0, 498, 49140, 32.33
2026-08-02T15:48:25+09:00,0, 0, 904, 49140, 29.64
2026-08-02T15:48:25+09:00,1, 0, 498, 49140, 32.27
2026-08-02T15:48:55+09:00,0, 100, 5702, 49140, 210.51
2026-08-02T15:48:55+09:00,1, 100, 5295, 49140, 223.25
2026-08-02T15:49:25+09:00,0, 0, 5702, 49140, 119.47
2026-08-02T15:49:25+09:00,1, 0, 5295, 49140, 108.46
2026-08-02T15:49:55+09:00,0, 0, 5702, 49140, 78.58
2026-08-02T15:49:55+09:00,1, 0, 5295, 49140, 102.77
2026-08-02T15:50:25+09:00,0, 0, 5702, 49140, 120.50
2026-08-02T15:50:25+09:00,1, 0, 5295, 49140, 155.24
2026-08-02T15:50:55+09:00,0, 100, 5990, 49140, 227.97
2026-08-02T15:50:55+09:00,1, 0, 5295, 49140, 80.26
2026-08-02T15:51:25+09:00,0, 76, 5990, 49140, 193.87
2026-08-02T15:51:25+09:00,1, 100, 5295, 49140, 214.54
2026-08-02T15:51:55+09:00,0, 100, 5992, 49140, 151.15
2026-08-02T15:51:55+09:00,1, 100, 5297, 49140, 174.32
2026-08-02T15:52:25+09:00,0, 0, 5992, 49140, 91.16
