#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    14:44:13       0    215     78      -    100     46      0      0      0      0   9501    930     39      0   5992      9      0      -      -      0      0      0 
 20260803    14:44:13       1    192     82      -    100     44      0      0      0      0   9501    870     40      0   5297      7      0      -      -      0      0      0 
 20260803    14:44:43       0    100     72      -     82     43      0      0      0      0   9501   1110     38      0   5992      9      0      -      -      0      4      1 
 20260803    14:44:43       1     84     77      -      0      0      0      0      0      0   9501   2505     39      0   5297      7      0      -      -      0      3      1 
 20260803    14:45:13       0    172     76      -     85     46      0      0      0      0   9501   1005     41      0   5992      9      0      -      -      0      0      0 
 20260803    14:45:13       1    182     81      -     98     32      0      0      0      0   9501   2355     43      0   5297      7      0      -      -      0      0      0 
 20260803    14:45:43       0    133     78      -    100     46      0      0      0      0   9501    930     39      0   5992      9      0      -      -      0      0      1 
 20260803    14:45:43       1     38     69      -      0      0      0      0      0      0    405    210      0      0   5297      7      0      -      -      0      0      0 
 20260803    14:46:13       0     94     77      -     78     40      0      0      0      0   9501    945     30      0   5992      9      0      -      -      0      4      1 
 20260803    14:46:13       1    111     73      -     74     37      0      0      0      0   9501   1230     24      0   5297      7      0      -      -      0      3      1 
 20260803    14:46:43       0    100     72      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      4      1 
 20260803    14:46:43       1    110     75      -      0      0      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      3      1 
 20260803    14:47:13       0     92     78      -     72     34      0      0      0      0   9501    945     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:47:13       1     84     81      -      5      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      3      1 
 20260803    14:47:43       0    116     79      -    100     52      0      0      0      0   9501    870     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:47:43       1    109     83      -    100     54      0      0      0      0   9501    870     41      0   5297      7      0      -      -      0      3      1 
 20260803    14:48:13       0    238     74      -      0      0      0      0      0      0   9501   2505     41      0   5992      9      0      -      -      0      0      0 
 20260803    14:48:13       1     82     76      -      0      0      0      0      0      0   9501   2505     29      0   5297      7      0      -      -      0      0      0 
 20260803    14:48:44       0     97     71      -      0      0      0      0      0      0   9501   1125     31      0   5992      9      0      -      -      0      3      1 
 20260803    14:48:44       1    210     77      -    100     45      0      0      0      0   9501    945      1      0   5297      7      0      -      -      0    129     35 
 20260803    14:49:14       0    153     78      -    100     44      0      0      0      0   9501    945     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:49:14       1    130     80      -    100     45      0      0      0      0   9501    930     38      0   5297      7      0      -      -      0      3      1 
 20260803    14:49:44       0    123     78      -    100     47      0      0      0      0   9501    915     39      0   5992      9      0      -      -      0      3      1 
 20260803    14:49:44       1    121     82      -     83     42      0      0      0      0   9501    870     40      0   5297      7      0      -      -      0      3      1 
 20260803    14:50:14       0    114     72      -      0      0      0      0      0      0   9501   2505     39      0   5992      9      0      -      -      0      4      1 
 20260803    14:50:14       1    107     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      3      1 
 20260803    14:50:44       0    150     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0   9298    209 
 20260803    14:50:44       1    165     79      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      4      1 
 20260803    14:51:14       0    162     79      -    100     45      0      0      0      0   9501    885     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:51:14       1     41     73      -      0      0      0      0      0      0    405    210     14      0   5297      7      0      -      -      0      0      0 
 20260803    14:51:44       0    155     72      -      0      0      0      0      0      0   9501   2505     32      0   5992      9      0      -      -      0      0      0 
 20260803    14:51:44       1    169     72      -      0      0      0      0      0      0   9501   2505     14      0   5297      7      0      -      -      0      0      0 
 20260803    14:52:14       0     97     78      -     80     41      0      0      0      0   9501    915     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:52:14       1     85     80      -      9      0      0      0      0      0   9501   1305     40      0   5297      7      0      -      -      0      3      1 
 20260803    14:52:44       0    105     78      -     90     48      0      0      0      0   9501    900     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:52:44       1     97     82      -     80     41      0      0      0      0   9501    885     41      0   5297      7      0      -      -      0      3      1 
 20260803    14:53:14       0    108     77      -     43      1      0      0      0      0   9501    960     40      0   5992      9      0      -      -      0      3      1 
 20260803    14:53:14       1     86     78      -      0      0      0      0      0      0   9501   1905     41      0   5297      7      0      -      -      0      3      1 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    14:53:44       0    231     77      -     18      3      0      0      0      0   9501   2460     41      0   5992      9      0      -      -      0      0      0 
 20260803    14:53:44       1     85     78      -      0      0      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      0      0 
 20260803    14:54:15       0    202     73      -     42     22      0      0      0      0   9501   1155     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:54:15       1     41     70      -     24      0      0      0      0      0   9501   2505      0      0   5297      7      0      -      -      0     65     18 
 20260803    14:54:45       0    195     73      -      0      0      0      0      0      0   9501   2505     33      0   5992      9      0      -      -      0      0      0 
 20260803    14:54:45       1    211     74      -      0      0      0      0      0      0   9501   2505     32      0   5297      7      0      -      -      0      0      0 
 20260803    14:55:15       0    163     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:55:15       1    174     77      -      0      0      0      0      0      0   9501   2520     40      0   5297      7      0      -      -      0      0      0 
 20260803    14:55:45       0    164     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:55:45       1    177     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    14:56:15       0    165     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:56:15       1    178     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      5      1 
 20260803    14:56:45       0    181     79      -    100     45      0      0      0      0   9501    885     41      0   5992      9      0      -      -      0      0      0 
 20260803    14:56:45       1     82     75      -      0      0      0      0      0      0   9501   2505     22      0   5297      7      0      -      -      0      0      0 
 20260803    14:57:15       0    128     72      -      0      0      0      0      0      0   9501   2505     32      0   5992      9      0      -      -      0      3      1 
 20260803    14:57:15       1    117     77      -    100     47      0      0      0      0   9501    900      7      0   5297      7      0      -      -      0      3      1 
 20260803    14:57:45       0    230     74      -      0      0      0      0      0      0   9501   2505     42      0   5992      9      0      -      -      0      0      0 
 20260803    14:57:45       1    232     77      -     62     15      0      0      0      0   9501   2490     42      0   5297      7      0      -      -      0      0      0 
 20260803    14:58:15       0    229     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:58:15       1    235     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    14:58:45       0    211     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:58:45       1    224     79      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    14:59:15       0    185     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:59:15       1    203     79      -      0      0      0      0      0      0   9501   2505     42      0   5297      7      0      -      -      0      0      0 
 20260803    14:59:45       0    191     79      -    100     45      0      0      0      0   9501    885     40      0   5992      9      0      -      -      0      0      0 
 20260803    14:59:45       1     39     71      -      0      0      0      0      0      0    405    210      3      0   5297      7      0      -      -      0      0      0 
 20260803    15:00:16       0    116     77      -    100     49      0      0      0      0   9501    915     32      0   5992      9      0      -      -      0      3      1 
 20260803    15:00:16       1    100     78      -     89     48      0      0      0      0   9501    915     25      0   5297      7      0      -      -      0      3      1 
 20260803    15:00:46       0    178     79      -    100     46      0      0      0      0   9501    900     41      0   5992      9      0      -      -      0      4      1 
 20260803    15:00:46       1    164     82      -    100     44      0      0      0      0   9501    870     41      0   5297      7      0      -      -      0      3      2 
 20260803    15:01:16       0    199     79      -    100     46      0      0      0      0   9501    930     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:01:16       1    192     83      -    100     44      0      0      0      0   9501    855     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:01:46       0    210     79      -    100     46      0      0      0      0   9501    930     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:01:46       1    215     84      -    100     44      0      0      0      0   9501    870     42      0   5297      7      0      -      -      0      0      0 
 20260803    15:02:16       0    119     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      3      1 
 20260803    15:02:16       1     83     76      -      0      0      0      0      0      0   9501   2505     28      0   5297      7      0      -      -      0      0      0 
 20260803    15:02:46       0    227     73      -      0      0      0      0      0      0   9501   2505     34      0   5992      9      0      -      -      0      0      0 
